,season_column,tm,fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,teamChemistry,playoffs
24,1951,PHW,1280.7,3500.6,3.2926,0.0,0.0,0.0,1232.8,3623.4,3.02005,2.7311,1054.8,1498.05,0.0,0.0,2206.8,1019.7,0.0,0.0,0.0,1276.7,4250.65,228.0,True
25,1951,ROC,1406.2,3583.9,2.88365,0.0,0.0,0.0,1315.8,3695.6,2.59845,2.363,1174.3,1613.1000000000001,0.0,0.0,1957.05,865.7,0.0,0.0,0.0,1118.1000000000001,4361.55,304.0,True
26,1951,SYR,1421.1,4065.0,3.69645,0.0,0.0,0.0,1349.0,4067.6,3.37025,3.1036,1456.2,2075.35,0.0,0.0,2530.65,1082.6,0.0,0.0,0.0,1587.85,4634.7,352.0,True
28,1951,TRI,1539.8,4477.4,5.8373,0.0,0.0,0.0,1579.2,4823.2,5.5835,5.1258,1437.2,2053.1,0.0,0.0,2744.25,1146.6,0.0,0.0,0.0,1800.15,4928.4,428.0,False
29,1951,WSC,743.2,2229.6,4.676,0.0,0.0,0.0,710.6,2275.4,4.45355,4.2074,698.6,962.95,0.0,0.0,1187.65,423.70000000000005,0.0,0.0,0.0,897.25,2330.65,342.0,False
30,1952,BLB,1100.8,3321.8,3.342,0.0,0.0,0.0,989.2,3119.7999999999997,2.8875,2.5536,942.1,1378.6,0.0,0.0,1916.25,755.6,0.0,0.0,0.0,1160.65,3820.85,288.0,False
31,1952,BOS,1324.1,3308.9,2.61765,0.0,0.0,0.0,1215.4,3384.7,2.27395,1.9676,1123.7,1623.3,0.0,0.0,2027.95,876.7,0.0,0.0,0.0,1188.3,4296.9,262.0,True
32,1952,FTW,1015.9000000000001,2827.6,2.9368,0.0,0.0,0.0,976.8000000000001,2911.9,2.6115000000000004,2.2956,910.2,1393.1000000000001,0.0,0.0,1984.5,680.5,0.0,0.0,0.0,1212.8500000000001,3632.45,312.0,True
33,1952,INO,1122.4,3133.7,2.6778,0.0,0.0,0.0,1062.2,3090.2,2.33345,2.0347,818.4,1242.2,0.0,0.0,1791.05,637.9000000000001,0.0,0.0,0.0,1086.65,3862.2,204.0,True
34,1952,MLH,1024.2,2859.2000000000003,4.7281,0.0,0.0,0.0,1027.8,3200.8,4.2982000000000005,3.7739,927.5,1496.4,0.0,0.0,2125.1,643.7,0.0,0.0,0.0,1348.85,3497.35,454.0,False
35,1952,MNL,1245.4,3144.9,2.5135,0.0,0.0,0.0,1214.2,3446.2,2.1748000000000003,1.921,848.7,1265.25,0.0,0.0,2107.7000000000003,694.2,0.0,0.0,0.0,1220.1,3985.9,326.0,True
36,1952,NYK,1139.0,3053.6,2.85615,0.0,0.0,0.0,1057.8,2965.7,2.49305,2.1825,893.4,1381.0,0.0,0.0,2050.55,852.7,0.0,0.0,0.0,1208.85,3966.2499999999995,360.0,True
37,1952,PHW,1171.4,3066.2000000000003,3.372,0.0,0.0,0.0,1115.8000000000002,3142.6,3.0304,2.7161,942.2,1356.45,0.0,0.0,1991.65,882.4,0.0,0.0,0.0,1274.15,4064.75,236.0,True
38,1952,ROC,1219.7,3078.4,2.8059,0.0,0.0,0.0,1123.8,3119.8,2.4793000000000003,2.2149,998.4,1396.2,0.0,0.0,1971.8000000000002,868.9,0.0,0.0,0.0,1231.0,4050.1499999999996,338.0,True
39,1952,SYR,1178.0,3055.8,2.7368,0.0,0.0,0.0,1111.4,3239.5,2.39135,2.1054,1178.2,1701.5,0.0,0.0,2030.8000000000002,752.1,0.0,0.0,0.0,1376.45,4069.2499999999995,302.0,True
41,1953,BLB,1343.4,3356.9,5.57355,0.0,0.0,0.0,1279.8,3658.6,5.0845,4.633,1129.5,1755.0,0.0,0.0,2253.55,837.2,0.0,0.0,0.0,1558.8500000000001,4282.5,464.0,True
42,1953,BOS,1333.9,3342.8,2.9938000000000002,0.0,0.0,0.0,1229.0,3419.3,2.65375,2.3644,1212.3,1756.45,0.0,0.0,2118.8,938.6,0.0,0.0,0.0,1308.25,4459.45,316.0,True
43,1953,FTW,1085.5,3016.3,3.8667499999999997,0.0,0.0,0.0,1041.6000000000001,3080.1,3.4635000000000002,3.2123,1117.7,1663.75,0.0,0.0,2087.5,747.3,0.0,0.0,0.0,1515.75,4007.5499999999997,418.0,True
